title,year,duration,pg,rating,url
Como Estrelas na Terra,2007,2h 42m,Livre,"8,3",https://www.imdb.com/pt/title/tt0986264/?ref_=chttp_t_114
O Sol é para Todos,1962,2h 9m,12,"8,3",https://www.imdb.com/pt/title/tt0056592/?ref_=chttp_t_115
Duro de Matar,1988,2h 12m,14,"8,2",https://www.imdb.com/pt/title/tt0095016/?ref_=chttp_t_116
Laranja Mecânica,1971,2h 16m,(Banned),"8,2",https://www.imdb.com/pt/title/tt0066921/?ref_=chttp_t_117
Golpe de Mestre,1973,2h 9m,18,"8,2",https://www.imdb.com/pt/title/tt0070735/?ref_=chttp_t_118
Indiana Jones e a Última Cruzada,1989,2h 7m,Livre,"8,2",https://www.imdb.com/pt/title/tt0097576/?ref_=chttp_t_119
Oppenheimer,2023,3h,16,"8,3",https://www.imdb.com/pt/title/tt15398776/?ref_=chttp_t_120
Metrópolis,1927,2h 33m,Livre,"8,3",https://www.imdb.com/pt/title/tt0017136/?ref_=chttp_t_121
Snatch - Porcos e Diamantes,2000,1h 44m,16,"8,2",https://www.imdb.com/pt/title/tt0208092/?ref_=chttp_t_122
1917,2019,1h 59m,14,"8,2",https://www.imdb.com/pt/title/tt8579674/?ref_=chttp_t_123
Los Angeles: Cidade Proibida,1997,2h 18m,18,"8,2",https://www.imdb.com/pt/title/tt0119488/?ref_=chttp_t_124
Ladrões de Bicicletas,1948,1h 29m,10,"8,2",https://www.imdb.com/pt/title/tt0040522/?ref_=chttp_t_125
A Queda! As Últimas Horas de Hitler,2004,2h 36m,16,"8,2",https://www.imdb.com/pt/title/tt0363163/?ref_=chttp_t_126
Dangal,2016,2h 41m,10,"8,3",https://www.imdb.com/pt/title/tt5074352/?ref_=chttp_t_127
O Lobo de Wall Street,2013,3h,18,"8,2",https://www.imdb.com/pt/title/tt0993846/?ref_=chttp_t_128
Hamilton,2020,2h 40m,12,"8,3",https://www.imdb.com/pt/title/tt8503618/?ref_=chttp_t_129
Taxi Driver: Motorista de Táxi,1976,1h 54m,14,"8,2",https://www.imdb.com/pt/title/tt0075314/?ref_=chttp_t_130
Green Book: O Guia,2018,2h 10m,12,"8,2",https://www.imdb.com/pt/title/tt6966692/?ref_=chttp_t_131
Batman Begins,2005,2h 20m,10,"8,2",https://www.imdb.com/pt/title/tt0372784/?ref_=chttp_t_132
O Show de Truman: O Show da Vida,1998,1h 43m,12,"8,2",https://www.imdb.com/pt/title/tt0120382/?ref_=chttp_t_133
Por uns Dólares a Mais,1965,2h 12m,12,"8,2",https://www.imdb.com/pt/title/tt0059578/?ref_=chttp_t_134
Julgamento em Nuremberg,1961,2h 59m,Approved,"8,3",https://www.imdb.com/pt/title/tt0055031/?ref_=chttp_t_135
Quanto Mais Quente Melhor,1959,2h 1m,Livre,"8,2",https://www.imdb.com/pt/title/tt0053291/?ref_=chttp_t_136
Ilha do Medo,2010,2h 18m,16,"8,2",https://www.imdb.com/pt/title/tt1130884/?ref_=chttp_t_137
O Garoto,1921,1h 8m,Livre,"8,2",https://www.imdb.com/pt/title/tt0012349/?ref_=chttp_t_138
Meu Pai,2020,1h 37m,12,"8,2",https://www.imdb.com/pt/title/tt10272386/?ref_=chttp_t_139
A Malvada,1950,2h 18m,Livre,"8,2",https://www.imdb.com/pt/title/tt0042192/?ref_=chttp_t_140
Jurassic Park: O Parque dos Dinossauros,1993,2h 7m,Livre,"8,2",https://www.imdb.com/pt/title/tt0107290/?ref_=chttp_t_141
Sangue Negro,2007,2h 38m,14,"8,2",https://www.imdb.com/pt/title/tt0469494/?ref_=chttp_t_142
O Sexto Sentido,1999,1h 47m,12,"8,2",https://www.imdb.com/pt/title/tt0167404/?ref_=chttp_t_143
Cassino,1995,2h 58m,18,"8,2",https://www.imdb.com/pt/title/tt0112641/?ref_=chttp_t_144
Ran,1985,2h 40m,16,"8,2",https://www.imdb.com/pt/title/tt0089881/?ref_=chttp_t_145
Top Gun: Maverick,2022,2h 10m,12,"8,2",https://www.imdb.com/pt/title/tt1745960/?ref_=chttp_t_146
Onde os Fracos Não Têm Vez,2007,2h 2m,16,"8,2",https://www.imdb.com/pt/title/tt0477348/?ref_=chttp_t_147
O Enigma de Outro Mundo,1982,1h 49m,14,"8,2",https://www.imdb.com/pt/title/tt0084787/?ref_=chttp_t_148
O Labirinto do Fauno,2006,1h 58m,16,"8,2",https://www.imdb.com/pt/title/tt0457430/?ref_=chttp_t_149
Os Imperdoáveis,1992,2h 10m,12,"8,2",https://www.imdb.com/pt/title/tt0105695/?ref_=chttp_t_150
Kill Bill: Volume 1,2003,1h 51m,18,"8,2",https://www.imdb.com/pt/title/tt0266697/?ref_=chttp_t_151
Uma Mente Brilhante,2001,2h 15m,12,"8,2",https://www.imdb.com/pt/title/tt0268978/?ref_=chttp_t_152
O Tesouro da Sierra Madre,1948,2h 6m,Livre,"8,2",https://www.imdb.com/pt/title/tt0040897/?ref_=chttp_t_153
Os Suspeitos,2013,2h 33m,16,"8,2",https://www.imdb.com/pt/title/tt1392214/?ref_=chttp_t_154
"Yojimbo, o Guarda-Costas",1961,1h 50m,Livre,"8,2",https://www.imdb.com/pt/title/tt0055630/?ref_=chttp_t_155
Procurando Nemo,2003,1h 40m,Livre,"8,2",https://www.imdb.com/pt/title/tt0266543/?ref_=chttp_t_156
O Castelo Animado,2004,1h 59m,Livre,"8,2",https://www.imdb.com/pt/title/tt0347149/?ref_=chttp_t_157
Fugindo do Inferno,1963,2h 52m,12,"8,2",https://www.imdb.com/pt/title/tt0057115/?ref_=chttp_t_158
Monty Python em Busca do Cálice Sagrado,1975,1h 31m,Livre,"8,2",https://www.imdb.com/pt/title/tt0071853/?ref_=chttp_t_159
